file_name	commons_title	category	image_url	description_url	artist	license	credit
32a.SanDancers.Botswana.45thSFF.WDC.3July2011_6769699107_.jpg	File:32a.SanDancers.Botswana.45thSFF.WDC.3July2011 (6769699107).jpg	Category:San people	https://upload.wikimedia.org/wikipedia/commons/1/17/32a.SanDancers.Botswana.45thSFF.WDC.3July2011_%286769699107%29.jpg	https://commons.wikimedia.org/wiki/File:32a.SanDancers.Botswana.45thSFF.WDC.3July2011_(6769699107).jpg	Elvert Barnes	CC BY-SA 2.0	32a.SanDancers.Botswana.45thSFF.WDC.3July2011
33a.SanDancers.Botswana.45thSFF.WDC.3July2011_6769699115_2_.jpg	File:33a.SanDancers.Botswana.45thSFF.WDC.3July2011 (6769699115) (2).jpg	Category:San people	https://upload.wikimedia.org/wikipedia/commons/3/34/33a.SanDancers.Botswana.45thSFF.WDC.3July2011_%286769699115%29_%282%29.jpg	https://commons.wikimedia.org/wiki/File:33a.SanDancers.Botswana.45thSFF.WDC.3July2011_(6769699115)_(2).jpg	Elvert Barnes	CC BY-SA 2.0	33a.SanDancers.Botswana.45thSFF.WDC.3July2011
36a.SanDancers.Botswana.45thSFF.WDC.3July2011_6769699153_2_.jpg	File:36a.SanDancers.Botswana.45thSFF.WDC.3July2011 (6769699153) (2).jpg	Category:San people	https://upload.wikimedia.org/wikipedia/commons/b/b4/36a.SanDancers.Botswana.45thSFF.WDC.3July2011_%286769699153%29_%282%29.jpg	https://commons.wikimedia.org/wiki/File:36a.SanDancers.Botswana.45thSFF.WDC.3July2011_(6769699153)_(2).jpg	Elvert Barnes	CC BY-SA 2.0	36a.SanDancers.Botswana.45thSFF.WDC.3July2011
37.SanDancers.Botswana.45thSFF.WDC.3July2011_6769725881_2_.jpg	File:37.SanDancers.Botswana.45thSFF.WDC.3July2011 (6769725881) (2).jpg	Category:San people	https://upload.wikimedia.org/wikipedia/commons/b/bf/37.SanDancers.Botswana.45thSFF.WDC.3July2011_%286769725881%29_%282%29.jpg	https://commons.wikimedia.org/wiki/File:37.SanDancers.Botswana.45thSFF.WDC.3July2011_(6769725881)_(2).jpg	Elvert Barnes	CC BY-SA 2.0	37.SanDancers.Botswana.45thSFF.WDC.3July2011
38.SanDancers.Botswana.45thSFF.WDC.3July2011_6769725891_2_.jpg	File:38.SanDancers.Botswana.45thSFF.WDC.3July2011 (6769725891) (2).jpg	Category:San people	https://upload.wikimedia.org/wikipedia/commons/2/2b/38.SanDancers.Botswana.45thSFF.WDC.3July2011_%286769725891%29_%282%29.jpg	https://commons.wikimedia.org/wiki/File:38.SanDancers.Botswana.45thSFF.WDC.3July2011_(6769725891)_(2).jpg	Elvert Barnes	CC BY-SA 2.0	38.SanDancers.Botswana.45thSFF.WDC.3July2011
40.SanDancers.Botswana.45thSFF.WDC.3July2011_6769725911_.jpg	File:40.SanDancers.Botswana.45thSFF.WDC.3July2011 (6769725911).jpg	Category:San people	https://upload.wikimedia.org/wikipedia/commons/8/8d/40.SanDancers.Botswana.45thSFF.WDC.3July2011_%286769725911%29.jpg	https://commons.wikimedia.org/wiki/File:40.SanDancers.Botswana.45thSFF.WDC.3July2011_(6769725911).jpg	Elvert Barnes	CC BY-SA 2.0	40.SanDancers.Botswana.45thSFF.WDC.3July2011
_Esquimau_woman_LCCN2015645601.jpg	File:"Esquimau woman" LCCN2015645601.jpg	Category:Inuit people	https://upload.wikimedia.org/wikipedia/commons/f/fc/%22Esquimau_woman%22_LCCN2015645601.jpg	https://commons.wikimedia.org/wiki/File:%22Esquimau_woman%22_LCCN2015645601.jpg	Gerhard Sisters, photographer	Public domain	Library of Congress\n\nCatalog: https://lccn.loc.gov/2015645601\nImage download: https://cdn.loc.gov/service/pnp/ds/06900/06917v.jpg\nOriginal url: https://www.loc.gov/pictures/item/2015645601/
1956_Alaska_-_Eskimo_and_dog_team.jpg	File:1956 Alaska - Eskimo and dog team.jpg	Category:Inuit people	https://upload.wikimedia.org/wikipedia/commons/5/5c/1956_Alaska_-_Eskimo_and_dog_team.jpg	https://commons.wikimedia.org/wiki/File:1956_Alaska_-_Eskimo_and_dog_team.jpg	Not Provided	Public domain	CDC website
2004_Three_eskimo_beauties_and_their_sled_reindeer.jpg	File:2004 – Three eskimo beauties and their sled reindeer.jpg	Category:Inuit people	https://upload.wikimedia.org/wikipedia/commons/9/98/2004_%E2%80%93_Three_eskimo_beauties_and_their_sled_reindeer.jpg	https://commons.wikimedia.org/wiki/File:2004_%E2%80%93_Three_eskimo_beauties_and_their_sled_reindeer.jpg	Arkiv i Nordland from Bodø, Norway	CC BY 2.0	AIN.A15.104.p0043
300_of_Die_V_lker_des_Erdballs_nach_ihrer_Abstammung_und_Verwandtschaft_und_ihren_Eigenth_mlichkeiten_in_Regierungsform_Religion_Sitte_und_Tracht_..._Mit_..._colorirten_Abbildungen_11227428275_.jpg	File:300 of 'Die Völker des Erdballs nach ihrer Abstammung und Verwandtschaft, und ihren Eigenthümlichkeiten in Regierungsform, Religion, Sitte und Tracht ... Mit ... colorirten Abbildungen' (11227428275).jpg	Category:Inuit people	https://upload.wikimedia.org/wikipedia/commons/2/27/300_of_%27Die_V%C3%B6lker_des_Erdballs_nach_ihrer_Abstammung_und_Verwandtschaft%2C_und_ihren_Eigenth%C3%BCmlichkeiten_in_Regierungsform%2C_Religion%2C_Sitte_und_Tracht_..._Mit_..._colorirten_Abbildungen%27_%2811227428275%29.jpg	https://commons.wikimedia.org/wiki/File:300_of_%27Die_V%C3%B6lker_des_Erdballs_nach_ihrer_Abstammung_und_Verwandtschaft,_und_ihren_Eigenth%C3%BCmlichkeiten_in_Regierungsform,_Religion,_Sitte_und_Tracht_..._Mit_..._colorirten_Abbildungen%27_(11227428275).jpg	The British Library	No restrictions	Image taken from page 300 of 'Die Völker des Erdballs nach ihrer Abstammung und Verwandtschaft, und ihren Eigenthümlichkeiten in Regierungsform, Religion, Sitte und Tracht ... Mit ... colorirten Abbildungen'
AK_-_Oskar_Iden-Zeller_mit_Eskimofamilie.jpg	File:AK - Oskar Iden-Zeller mit Eskimofamilie.jpg	Category:Inuit people	https://upload.wikimedia.org/wikipedia/commons/0/04/AK_-_Oskar_Iden-Zeller_mit_Eskimofamilie.jpg	https://commons.wikimedia.org/wiki/File:AK_-_Oskar_Iden-Zeller_mit_Eskimofamilie.jpg	Unknown authorUnknown author	Public domain	https://i.ebayimg.com/00/s/NTgyWDgwMA==/z/doYAAOSw6lZhj4tn/$_57.JPG
ARVIAT_NUNAVUT_.jpg	File:ARVIAT (NUNAVUT).jpg	Category:Inuit people	https://upload.wikimedia.org/wikipedia/commons/9/97/ARVIAT_%28NUNAVUT%29.jpg	https://commons.wikimedia.org/wiki/File:ARVIAT_(NUNAVUT).jpg	Perrona	CC BY-SA 3.0	Own work
Abraham_Ulrikab.jpg	File:Abraham Ulrikab.jpg	Category:Inuit people	https://upload.wikimedia.org/wikipedia/commons/1/14/Abraham_Ulrikab.jpg	https://commons.wikimedia.org/wiki/File:Abraham_Ulrikab.jpg	Public domain	Category:Files with no machine-readable author | Category:Files with no machine-readable source | Category:Fur clothing of Inuit people | Category:Fur fashion in 1881 | Category:Fur mosaics | Category:Inuit people | Category:Media missing infobox template | Category:PD Canada | Category:PD US expired	
Across_Arctic_America_p_186.png	File:Across Arctic America p 186.png	Category:Inuit people	https://upload.wikimedia.org/wikipedia/commons/3/30/Across_Arctic_America_p_186.png	https://commons.wikimedia.org/wiki/File:Across_Arctic_America_p_186.png	Knud Rasmussen	Public domain	This image has been extracted from another file
1154._Tromsl_Amt_Fjeld-Lapper_ved_sin_Gamme_-_no-nb_digifoto_20160108_00259_bldsa_AL1154.jpg	File:1154. Tromsl Amt, Fjeld-Lapper ved sin Gamme - no-nb digifoto 20160108 00259 bldsa AL1154.jpg	Category:Sami people with reindeer	https://upload.wikimedia.org/wikipedia/commons/d/da/1154._Tromsl_Amt%2C_Fjeld-Lapper_ved_sin_Gamme_-_no-nb_digifoto_20160108_00259_bldsa_AL1154.jpg	https://commons.wikimedia.org/wiki/File:1154._Tromsl_Amt,_Fjeld-Lapper_ved_sin_Gamme_-_no-nb_digifoto_20160108_00259_bldsa_AL1154.jpg	Axel Lindahl	Public domain	National Library of Norway\n
